contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration,T,midPrice,S,r,moneyness
AMZN251205C00227500,2025-11-26 20:15:11+00:00,227.5,5.53,5.45,5.55,-0.52,-8.595041,2702.0,4261,0.3170313608440892,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,5.5,229.57000732421875,0.03752999782562256,1.0090989332932692
AMZN251205C00230000,2025-11-26 20:17:42+00:00,230.0,4.15,4.1,4.15,-0.4499998,-9.782605,10689.0,16722,0.3128950035217797,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,4.125,229.57000732421875,0.03752999782562256,0.9981304666270381
AMZN251205C00232500,2025-11-26 20:13:21+00:00,232.5,3.02,3.05,3.1,-0.43000007,-12.46377,6487.0,6513,0.3157668978201949,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,3.075,229.57000732421875,0.03752999782562256,0.9873978809643817
AMZN251205C00235000,2025-11-26 20:18:01+00:00,235.0,2.17,2.15,2.17,-0.32999992,-13.199997,21533.0,11547,0.31200895957518715,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,2.16,229.57000732421875,0.03752999782562256,0.9768936481881649
AMZN251205C00237500,2025-11-26 20:16:03+00:00,237.5,1.53,1.51,1.53,-0.21000004,-12.068968,5946.0,5789,0.31431434688766313,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,1.52,229.57000732421875,0.03752999782562256,0.9666105571546053
AMZN251205C00240000,2025-11-26 20:16:55+00:00,240.0,1.04,1.03,1.05,-0.16000009,-13.333339,11080.0,7458,0.3161369676007332,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,1.04,229.57000732421875,0.03752999782562256,0.9565416971842448
AMZN251205C00242500,2025-11-26 20:14:45+00:00,242.5,0.71,0.7,0.72,-0.120000005,-14.457831,8248.0,2721,0.32014390786479074,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.71,229.57000732421875,0.03752999782562256,0.9466804425740979
AMZN251205C00245000,2025-11-26 20:12:33+00:00,245.0,0.49,0.49,0.5,-0.089999974,-15.517237,8046.0,6223,0.32727160953198825,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.495,229.57000732421875,0.03752999782562256,0.9370204380580357
AMZN251205C00247500,2025-11-26 20:17:25+00:00,247.5,0.34,0.34,0.35,-0.060000002,-15.0,7402.0,4252,0.33468061634835483,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.345,229.57000732421875,0.03752999782562256,0.9275555851483586
AMZN251205C00250000,2025-11-26 20:12:23+00:00,250.0,0.24,0.24,0.25,-0.040000007,-14.285716,11187.0,6262,0.3434585308329467,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.245,229.57000732421875,0.03752999782562256,0.918280029296875
AMZN251205C00252500,2025-11-26 20:18:05+00:00,252.5,0.16,0.16,0.17,-0.030000001,-15.789474,2507.0,818,0.3486637633568521,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.165,229.57000732421875,0.03752999782562256,0.9091881478186881
AMZN251205C00255000,2025-11-26 20:07:14+00:00,255.0,0.11,0.11,0.13,-0.019999996,-15.384612,1120.0,3488,0.35851779930450023,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.12,229.57000732421875,0.03752999782562256,0.9002745385263481
AMZN251205C00257500,2025-11-26 20:14:55+00:00,257.5,0.09,0.08,0.09,-0.009999998,-9.090907,104.0,523,0.3664519495472578,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.08499999999999999,229.57000732421875,0.03752999782562256,0.8915340090260923
AMZN251205C00260000,2025-11-26 19:57:22+00:00,260.0,0.07,0.06,0.07,0.010000002,16.66667,1046.0,4142,0.37802264463440377,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.065,229.57000732421875,0.03752999782562256,0.8829615666316106
AMZN251205C00262500,2025-11-26 19:17:29+00:00,262.5,0.06,0.04,0.05,0.009999998,19.999994,66.0,176,0.3840696281619349,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.045,229.57000732421875,0.03752999782562256,0.8745524088541666
AMZN251205C00265000,2025-11-26 19:11:14+00:00,265.0,0.05,0.03,0.04,0.010000002,25.000004,258.0,2675,0.39538833136845103,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.035,229.57000732421875,0.03752999782562256,0.8663019144310141
AMZN251205C00270000,2025-11-26 20:07:56+00:00,270.0,0.03,0.03,0.04,0.0,0.0,73.0,3742,0.4402894780944662,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.035,229.57000732421875,0.03752999782562256,0.8502592863859953
AMZN251205C00275000,2025-11-26 20:06:24+00:00,275.0,0.01,0.01,0.02,0.0,0.0,1357.0,3437,0.4422059705624575,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.015,229.57000732421875,0.03752999782562256,0.8348000266335227
AMZN251205C00280000,2025-11-26 16:30:13+00:00,280.0,0.01,0.0,0.01,0.0,0.0,3.0,1181,0.4361458585206537,False,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,0.005,229.57000732421875,0.03752999782562256,0.8198928833007812
AMZN251205P00187500,2025-11-26 16:42:09+00:00,187.5,0.03,0.03,0.04,-0.049999997,-62.499996,31.0,377,0.551420062513607,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.035,229.57000732421875,0.03752999782562256,1.2243733723958334
AMZN251205P00190000,2025-11-26 19:20:30+00:00,190.0,0.04,0.04,0.05,-0.04,-50.0,1793.0,865,0.5348557074305217,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.045,229.57000732421875,0.03752999782562256,1.2082631964432566
AMZN251205P00192500,2025-11-26 15:06:06+00:00,192.5,0.07,0.04,0.05,-0.020000003,-22.222223,1.0,54,0.5020104573160086,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.045,229.57000732421875,0.03752999782562256,1.1925714666193181
AMZN251205P00195000,2025-11-26 20:11:59+00:00,195.0,0.06,0.05,0.06,-0.06,-50.0,222.0,1265,0.48149970041237455,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.055,229.57000732421875,0.03752999782562256,1.1772820888421474
AMZN251205P00197500,2025-11-26 17:21:40+00:00,197.5,0.06,0.07,0.08,-0.08,-57.142857,118.0,321,0.46759488527936555,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.07500000000000001,229.57000732421875,0.03752999782562256,1.1623797839200949
AMZN251205P00200000,2025-11-26 20:11:59+00:00,200.0,0.09,0.09,0.1,-0.06999999,-43.749996,345.0,2680,0.44866904517297207,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.095,229.57000732421875,0.03752999782562256,1.1478500366210938
AMZN251205P00202500,2025-11-26 19:10:47+00:00,202.5,0.11,0.11,0.13,-0.11,-50.0,170.0,657,0.4291019024164495,False,REGULAR,USD,put,2025-12-05,8,0.021917808219178082,0.12,229.57000732421875,0.03752999782562256,1.1336790485146604
